id	prompt	waveId	transcription	recResult	language	meaning	edition	category
1	Frag: Zimmer für 3 Nächte	user-8_2014-05-11_17-57-14_utt_007	*silence		incorrect	incorrect	ST2	A
2	Frag: Zimmer für 3 Nächte	user-8_2014-05-11_17-57-14_utt_008	*silence		incorrect	incorrect	ST2	A
3	Frag: Zimmer für 3 Nächte	user-8_2014-05-11_17-57-14_utt_009	*silence		incorrect	incorrect	ST2	A
4	Frag: Einzelzimmer	user-8_2014-05-11_17-57-14_utt_011	single room	single room	correct	correct	ST2	A
5	Frag: Einzelzimmer	user-8_2014-05-11_17-57-14_utt_012	*silence		incorrect	incorrect	ST2	A
6	Frag: Einzelzimmer	user-8_2014-05-11_17-57-14_utt_013	*silence		incorrect	incorrect	ST2	A
7	Sag: Ich möchte mit Kreditkarte bezahlen	user-8_2014-05-11_17-57-14_utt_015	ich*v möchte*v mit*v kreditkarte*v bezahlen*v ggg can i pay by credit card	the five can i pay by credit card	correct	correct	ST2	A
8	Sag: Ich möchte mit Kreditkarte bezahlen	user-8_2014-05-11_17-57-14_utt_016	*silence		incorrect	incorrect	ST2	A
9	Frag: Zimmer für 1 Woche	user-265_2014-11-25_07-51-15_utt_010	*silence		incorrect	incorrect	ST2	A
11	Frag: Zimmer für 1 Woche	user-265_2014-11-25_07-51-15_utt_012	*silence		incorrect	incorrect	ST2	A
13	Sag: Ich heisse Nick	user-265_2014-12-10_07-00-41_utt_003	my name is nick	my name is nick	correct	correct	ST2	A
14	Sag: Ich bin aus Kanada	user-265_2014-12-10_07-00-41_utt_004	i am from canada	i am from scotland	correct	correct	ST2	A
15	Sag: Ich heisse Stephanie	user-265_2014-12-10_07-00-41_utt_006	my name is stephanie	my name is stephanie	correct	correct	ST2	A
17	Sag: Ich bin aus Österreich	user-265_2014-12-10_07-00-41_utt_008	i am from austria austria	i am from poster austria	correct	correct	ST2	A
19	Frag: ein Ticket zum Trafalgar Square	user-265_2014-12-10_07-00-41_utt_011	i need a ticket to trafalgar square	i need a ticket to trafalgar square	correct	correct	ST2	A
20	Sag: Ich möchte mit Visa bezahlen	user-265_2014-12-10_07-00-41_utt_012	i want i want which visas buy	i want i want which visa six nights	incorrect	incorrect	ST2	A
21	Sag: Ich möchte mit Visa bezahlen	user-265_2014-12-10_07-00-41_utt_013	i want which pi i want to play ah fu*a	i want bridge i want to leave africa	incorrect	incorrect	ST2	A
22	Sag: Ich möchte mit Visa bezahlen	user-265_2014-12-10_07-00-41_utt_014	i want which visa pay	i want swiss visa pay	incorrect	incorrect	ST2	A
24	Sag: Ich habe keine Reservation	user-265_2014-12-17_06-47-14_utt_003	i don't have a reservation	i don't have a reservation	correct	correct	ST2	A
25	Sag: Ich habe keine Reservation	user-265_2014-12-17_06-47-14_utt_004	i don't have a reservation	i don't have a reservation	correct	correct	ST2	A
26	Sag: Ich habe keine Reservation	user-265_2014-12-17_06-47-14_utt_005	i don't have a reservation	i don't have a reservation	correct	correct	ST2	A
28	Sag: Ich habe keine Reservation	user-265_2014-12-17_06-47-14_utt_007	*silence		incorrect	incorrect	ST2	A
29	Sag: Ich habe keine Reservation	user-265_2014-12-17_06-47-14_utt_008	*silence	i	incorrect	incorrect	ST2	A
30	Sag: Ich habe keine Reservation	user-265_2014-12-17_06-47-14_utt_009	*silence	i	incorrect	incorrect	ST2	A
31	Sag: Ich habe keine Reservation	user-265_2014-12-17_06-47-14_utt_010	*silence	i	incorrect	incorrect	ST2	A
32	Sag: Ich habe keine Reservation	user-265_2014-12-17_06-47-14_utt_011	*silence	please	incorrect	incorrect	ST2	A
33	Sag: Ich habe keine Reservation	user-265_2014-12-17_06-47-14_utt_012	*silence		incorrect	incorrect	ST2	A
34	Sag: Ich habe keine Reservation	user-265_2014-12-17_06-47-14_utt_013	*silence		incorrect	incorrect	ST2	A
35	Sag: Ich habe keine Reservation	user-265_2014-12-17_06-47-14_utt_014	*silence		incorrect	incorrect	ST2	A
36	Sag: Ich habe keine Reservation	user-265_2014-12-17_06-47-14_utt_015	*silence		incorrect	incorrect	ST2	A
37	Sag: Mir geht es gut	user-265_2014-12-17_06-47-14_utt_017	*silence	i	incorrect	incorrect	ST2	A
38	Sag: Mir geht es gut	user-265_2014-12-17_06-47-14_utt_018	*silence		incorrect	incorrect	ST2	A
39	Sag: Mir geht es gut	user-265_2014-12-17_06-47-14_utt_019	*silence	please	incorrect	incorrect	ST2	A
